long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4355338448802,-34.569495118598496,82559,Lineal,14,NA,Báez,700.0,728,BAEZ 728,Exacta,Fraxinus excelsior,4.4,Sobreocupada,Regular,Elevada,26,9
-58.4357297981911,-34.5693807944674,82560,Lineal,14,NA,Báez,700.0,746,BAEZ 746,Exacta,Ficus benjamina,4.4,Sobreocupada,Regular,Elevada,50,4
-58.4356862530524,-34.5694061998622,82561,Lineal,14,NA,Báez,700.0,742,BAEZ 742,Exacta,Ficus benjamina,4.4,Sobreocupada,Regular,Elevada,52,4
-58.4254242777989,-34.5911057958139,82562,Lineal,14,NA,"Scalabrini Ortíz Raúl, Av",1500.0,1562,"SCALABRINI ORTIZ, RAUL AV. 1562",Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,43,13
-58.405904984615205,-34.577591494063896,82564,Lineal,14,NA,Salguero Jerónimo,3000.0,3012,"SALGUERO, JERONIMO 3012",LD,Ficus benjamina,3.2,Ocupada,Regular,A nivel,30,8
-58.405904984615205,-34.577591494063896,82565,Lineal,14,NA,Salguero Jerónimo,3000.0,3012,"SALGUERO, JERONIMO 3012",LD,Ficus benjamina,3.2,Ocupada,Regular,A nivel,52,8
-58.4053095482207,-34.579739540437004,82566,Lineal,14,NA,"Del Libertador, Av",2300.0,2381,DEL LIBERTADOR AV. 2381,Exacta,Morus nigra,20,Ocupada,Regular,Elevada,12,5
-58.405327934509295,-34.5766410206538,82568,Lineal,14,NA,Gelly,3400.0,3418,GELLY 3418,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,A nivel,74,27
-58.4054004970426,-34.5765982341011,82569,Lineal,14,NA,Gelly,3400.0,3424,GELLY 3424,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,Bajo nivel,14,15
-58.4054762987479,-34.5765535374614,82570,Lineal,14,NA,Gelly,3400.0,3434,GELLY 3434,Exacta,Ficus benjamina,2.8,Sobreocupada,Regular,Elevada,16,10
-58.4054854690366,-34.5771341673754,82571,Lineal,14,NA,Salguero Jerónimo,3000.0,3074,"SALGUERO, JERONIMO 3074",Exacta,Fraxinus excelsior,3.2,Ocupada,Regular,Elevada,24,8
-58.40580629567929,-34.5763589529739,82572,Lineal,14,NA,Gelly,3400.0,3460,GELLY 3460,LA,Platanus x acerifolia,2.8,Ocupada,Regular,Bajo nivel,70,26
-58.4056843810964,-34.577351008275,82573,Lineal,14,NA,Salguero Jerónimo,3000.0,3052,"SALGUERO, JERONIMO 3052",Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,Bajo nivel,46,15
-58.4055548521475,-34.5765072181702,82574,Lineal,14,NA,Gelly,3400.0,3442,GELLY 3442,Exacta,Ficus benjamina,2.8,Ocupada,Regular,Elevada,11,7
-58.4052107114213,-34.5768375726665,82576,Lineal,14,NA,Salguero Jerónimo,3000.0,3096,"SALGUERO, JERONIMO 3096",Exacta,Fraxinus excelsior,3.2,Ocupada,Regular,A nivel,31,13
-58.4062086697717,-34.5763091881864,82577,Lineal,14,NA,Cavia,3000.0,3099,CAVIA 3099,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,Elevada,58,20
-58.40647448759751,-34.5765960778878,82578,Lineal,14,NA,Cavia,3000.0,3063,CAVIA 3063,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,Elevada,14,11
-58.40528335183121,-34.5769167653976,82579,Lineal,14,NA,Salguero Jerónimo,3000.0,3092,"SALGUERO, JERONIMO 3092",Exacta,Ficus benjamina,3.2,Ocupada,Regular,Elevada,24,8
-58.4054762987479,-34.5765535374614,82580,Lineal,14,NA,Gelly,3400.0,3434,GELLY 3434,Exacta,Ficus benjamina,2.8,Sobreocupada,Regular,Elevada,6,4
-58.40580629567929,-34.5763589529739,82581,Lineal,14,NA,Gelly,3400.0,3460,GELLY 3460,Exacta,Ficus benjamina,2.8,Ocupada,Regular,Elevada,32,7
-58.40647448759751,-34.5765960778878,82582,Lineal,14,NA,Cavia,3000.0,3063,CAVIA 3063,LD,Fraxinus pennsylvanica,2.8,Ocupada,Regular,Elevada,16,8
